HGNC:14534	SPAG11B	ep2
HGNC:14540	WNK1	p65
HGNC:14546	PCDHB16	me1
HGNC:14554	CLEC4D	mcl
HGNC:14587	ING3	ing2
HGNC:14603	DMTF1	dmp1
HGNC:14634	PDAP1	pap
HGNC:14673	FYCO1	rufy3
HGNC:14677	DEAF1	spn
HGNC:14681	SPATA2	pd1
HGNC:1474	CAPG	mcp
HGNC:1482	CAPN5	htra3
HGNC:1487	CAPS	caps1
HGNC:14900	IL22	il-21
HGNC:14900	IL22	tifa
HGNC:14947	PPP1R12C	p85
HGNC:14950	PPP1R13B	p85
HGNC:14959	RBM15	spen
HGNC:14966	PXDN	pxn
HGNC:14981	PAPOLA	pap
HGNC:1535	RUNX1T1	cdr
HGNC:1536	CBFA2T2	p85
HGNC:15476	DYNLL1	dlc1
HGNC:15488	IL23A	p19
HGNC:15518	DCTN4	p62
HGNC:15531	EBNA1BP2	p40
HGNC:1554	CBX4	hpc2
HGNC:1554	CBX4	pc2
HGNC:15578	REPS1	ralbp1
HGNC:15607	ARHGEF7	p50
HGNC:15607	ARHGEF7	p85
HGNC:15608	NOLC1	p130
HGNC:15625	NBAS	nag
HGNC:15646	KLHL7	klhl6
HGNC:1565	ACKR2	ccr10
HGNC:1565	ACKR2	ccr9
HGNC:15673	PHIP	brwd2
HGNC:15673	PHIP	wdr11
HGNC:15714	LRPPRC	gp130
HGNC:15717	GEMIN4	p97
HGNC:15736	HID1	dmc1
HGNC:1578	CCNA2	ccn1
HGNC:15791	PIGU	gab1
HGNC:15840	KMT2B	mll2
HGNC:15845	PALM2	akap2
HGNC:15848	SEPT6	sept2
HGNC:15862	SMOX	smo
HGNC:15879	CTNNBL1	p14
HGNC:15894	PANK2	harp
HGNC:15906	MYH7B	myh14
HGNC:15913	NXT1	p15
HGNC:15936	NCOA6	trbp
HGNC:1594	CCNH	p37
HGNC:15979	TP63	p40
HGNC:15991	LMLN	msp
HGNC:16039	ANGPTL4	harp
HGNC:16061	PAK6	pak5
HGNC:16075	RAB33B	smc2
HGNC:1607	CCR6	dcr2
HGNC:16104	TP53INP2	pigu
HGNC:16105	OSER1	osr1
HGNC:1611	ACKR4	ccr10
HGNC:1612	CCRL2	hcr
HGNC:16235	DNAJC5	mir-941-2|mir-941-3|mir-941-4|mir-941-5
HGNC:16235	DNAJC5	ncl
HGNC:1635	CD1B	cd1
HGNC:1636	CD1C	cd1
HGNC:16385	NSUN5	p120
HGNC:16400	NLRP3	avp
HGNC:16435	HM13	imp1
HGNC:16472	SLC45A2	aim1
HGNC:16626	RAPGEF4	epac
HGNC:16641	TAC4	hk1
HGNC:16672	METAP2	map2
HGNC:16753	PRDX6	prx
HGNC:16769	GORASP1	p65
HGNC:16836	TGFBRAP1	trap1
HGNC:16850	CTR9	p150
HGNC:16860	SART3	p100
HGNC:16860	SART3	p110
HGNC:16864	DLGAP5	dlg1
HGNC:16890	CTDSPL	scp3
HGNC:16896	RABEPK	p40
HGNC:16916	CLEC10A	mgl
HGNC:16920	CIB1	kip1
HGNC:16930	CHERP	sra1
HGNC:16948	MYDGF	il-25
HGNC:16948	MYDGF	il27
HGNC:16963	RRAGA	fip1
HGNC:16964	DCTN6	p27
HGNC:1697	CD74	p33
HGNC:16991	CKAP4	p63
HGNC:16998	TMED10	p23
HGNC:17019	PRICKLE1	rilp
HGNC:17034	TUSC2	pap
HGNC:17063	RAB3GAP1	p130
HGNC:1706	CD8A	p32
HGNC:1707	CD8B	p37
HGNC:17088	CLASP1	mast1
HGNC:17098	DICER1	dcr1
HGNC:17142	OPTN	nrp
HGNC:17168	RAB3GAP2	p150
HGNC:17192	TIRAP	mal
HGNC:17213	COLEC11	clk1
HGNC:17259	LSM4	grp
HGNC:17264	POLR1A	rpa1
HGNC:17279	OPRPN	prl1
HGNC:17293	PRKD2	pkd2
HGNC:17311	PIAS2	miz1
HGNC:17326	SMR3B	prl3
HGNC:17329	SLA2	mars
HGNC:17353	APOBEC3C	pbi
HGNC:17435	SLC12A9	cip1
HGNC:17447	CLSTN1	pik3cd
HGNC:17509	HEMGN	ndr
HGNC:17513	HOMER2	cpd
HGNC:1753	CDH13	p105
HGNC:1754	CDH15	cdh3
HGNC:1756	CDH17	cdh16
HGNC:17586	MTCH1	psap
HGNC:17609	RASSF5	rassf3
HGNC:17662	PTBP2	ptb
HGNC:17663	PITRM1	prep
HGNC:17676	RABGEF1	rap1
HGNC:1771	CDK2	cdkn2
HGNC:1775	CDK5R1	p23
HGNC:17772	TXN2	txn
HGNC:17851	REXO2	sfn
HGNC:17866	HAVCR1	tim
HGNC:1787	CDKN2A	mts1
HGNC:1787	CDKN2A	p19
HGNC:1791	CDKN3	kap1
HGNC:17937	CUZD1	erg1
HGNC:18044	SLC38A3	nat1
HGNC:18069	NAT8	gla
HGNC:18116	KHDRBS1	p62
HGNC:18116	KHDRBS1	p68
HGNC:18155	TXNRD2	tr3
HGNC:1815	CEACAM3	cea
HGNC:18161	SCLY	scl
HGNC:1819	CEACAM7	cea
HGNC:18210	MOGAT1	mgat1
HGNC:18234	MOCOS	mos
HGNC:18243	RCBTB1	glp
HGNC:18248	ELP2	stip
HGNC:18257	TBC1D3F	tbc1d3
